MAKE,MODEL,MODEL_YR,BODY_STYLE,VEHICLE_TYPE,DRIVE_TRAIN,PRODUCTION_RELEASE,VEHICLE_CLASS,BODY_FRAME,NUM_OF_SEATING,SEAT_LOC,SEAT_LOC_COMMENTS,MIN_GROSS_WEIGHT,MAX_GROSS_WEIGHT,UPPER_BELT_ANCHORAGE,UPPER_BELT_ANCHORAGE_LOC,SEAT_BELT_PRETENSIONER,SEAT_BELT_PRETENSIONER_LOC,LOAD_LIMITERS,LOAD_LIMITERS_LOC,FRNT_BELT_INDICATOR,FRNT_BELT_LOC,REAR_BELT_INDICATOR,LATCH_REAR_POSITION,HEAD_SAB,HEAD_SAB_TYPE,HEAD_SAB_LOC,HEAD_SAB_MOUNT_LOC,HEAD_SAB_MEET_REQUIREMENTS,HEAD_SAB_DEPLOY_IN_ROLLOVER,TORSO_SAB,TORSO_SAB_TYPE,TORSO_SAB_LOC,TORSO_SAB_MOUNT_LOC,KNEE_BOLSTERS,KNEE_BOLSTERS_LOC,ADL,HEAD_RESTRAINT_IND,DYNAMIC_HEAD_RESTRAINT_IND,BETI,BLIND_SPOT_DETECTION,DAY_RUN_LIGHTS,ADAPTIVE_CRUISE_CONTROL,ABS,ARS,ARS_LOC,AUTO_CRASH_NOTIFICATION,CRASH_DATA_RECORDER,ANTI_THEFT_DEVICE,ANTI_THEFT_DEVICE_TYPE,FRNT_COLLISION_WARNING,NHTSA_FRNT_COLLISION_WARNING,NHTSA_FCW_EVALUATION,LANE_DEPARTURE_WARNING,NHTSA_LANE_DEPARTURE_WARNING,NHTSA_LDW_EVALUATION,CRASH_IMMINENT_BRAKE,NHTSA_CRASH_IMMINENT_BRAKE,NHTSA_CIB_EVALUATION,DYNAMIC_BRAKE_SUPPORT,NHTSA_DYNAMIC_BRAKE_SUPPORT,NHTSA_DBS_EVALUATION,NHTSA_ESC,PELVIS_SAB,PELVIS_SAB_TYPE,PELVIS_SAB_LOC,PELVIS_SAB_MOUNT_LOC,OVERALL_STARS,FRNT_TEST_NO,FRNT_VIN,FRNT_DRIV_STARS,FRNT_PASS_STARS,FRNT_SAFETY_CONCERN_DRIV,FRNT_SAFETY_CONCERN_PASS,FRNT_FOOT_NOTES,FRNT_FOOT_NOTES_PASS,OVERALL_FRNT_STARS,CURB_WEIGHT,FRNT_TESTED_WITH,HIC15_DRIV,CHEST_DEFL_DRIV,LEFT_FEMUR_DRIV,RIGHT_FEMUR_DRIV,NIJ_DRIV,NECK_TENS_DRIV,NET_COMP_DRIV,HIC15_PASS,CHEST_DEFL_PASS,LEFT_FEMUR_PASS,RIGHT_FEMUR_PASS,NIJ_PASS,NECK_TENS_PASS,NET_COMP_PASS,SIDE_TEST_NO,SIDE_VIN,SIDE_DRIV_STARS,SIDE_PASS_STARS,SIDE_BARRIER_STAR,COMB_FRNT_STAR,COMB_REAR_STAR,SIDE_SAFETY_CONCERN_DRIV,SIDE_SAFETY_CONCERN_PASS,SIDE_FOOT_NOTES,SIDE_FOOT_NOTES_PASS,OVERALL_SIDE_STARS,SIDE_TESTED_WITH,SIDE_HIC_36_DRIV,RIB_DEFLECTION_DRIV,ABDOMEN_FORCE_DRIV,SYMPHYSIS_FORCE_DRIV,SIDE_HIC_36_PASS,PELVIC_FORCE_PASS,POLE_TEST_NO,POLE_VIN,SIDE_POLE_STARS,POLE_SAFETY_CONCERN,POLE_FOOT_NOTES,POLE_TESTED_WITH,POLE_HIC_36_DRIV,PELVIC_FORCE,ROLLOVER_POSSIBILITY,STATIC_STABI_FACTOR,TIP,ROLL_SAFETY_CONCERN,ROLL_FOOT_NOTES,ROLLOVER_STARS,NHTSA_BACKUP_CAMERA,BACKUP_CAMERA
ACURA,ADX,2026,SUV,MPV,AWD,1,,,5,"1, 3, 4, 5, 6",N/A,4453,4607,,,Standard,"1, 3, 4, 6",Standard,"1, 3, 4, 6",,,,"4, 6",Standard,Head Protection,"1, 3, 4, 6",,Yes,,Standard,Torso and/or Pelvis Protection,"1, 3, 4, 6",,Standard,"1, 3",,"1, 3, 4, 5, 6",N/A,,Standard,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,,,,,,5,15464,3HDSA2H36SM703567,5,5,,,,,5,3509,"FRONTAL AIRBAG,KNEE AIR BAG",131.40200,18.83600,1189.17000,1229.02000,0.31,857.67000,135.58700,279.41400,12.71600,1029.94000,604.63700,0.40,680.50700,170.91300,15465,3HDSA1H3XSM702660,5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",62.51200,17.84200,500.09200,1218.24000,176.56300,2830.20000,15466,3HDSA1H38SM701023,5,,"During the side pole impact test, the roof buckled significantly and the windshield separated from the roof and left A-pillar.","CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",233.34800,2958.64000,0.155,1.26,No Tip,,,4,,
ACURA,ADX,2026,SUV,MPV,FWD,1,,,5,"1, 3, 4, 5, 6",N/A,4453,4607,,,Standard,"1, 3, 4, 6",Standard,"1, 3, 4, 6",,,,"4, 6",Standard,Head Protection,"1, 3, 4, 6",,Yes,,Standard,Torso and/or Pelvis Protection,"1, 3, 4, 6",,Standard,"1, 3",,"1, 3, 4, 5, 6",N/A,,Standard,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,,,,,,5,15464,3HDSA2H36SM703567,5,5,,,,,5,3337,"FRONTAL AIRBAG,KNEE AIR BAG",131.40200,18.83600,1189.17000,1229.02000,0.31,857.67000,135.58700,279.41400,12.71600,1029.94000,604.63700,0.40,680.50700,170.91300,15465,3HDSA1H3XSM702660,5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",62.51200,17.84200,500.09200,1218.24000,176.56300,2830.20000,15466,3HDSA1H38SM701023,5,,"During the side pole impact test, the roof buckled significantly and the windshield separated from the roof and left A-pillar.","CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",233.34800,2958.64000,0.159,1.25,No Tip,,,4,,
ACURA,INTEGRA,2026,5 HB,PC,FWD,1,,,5,"1, 3, 4, 5, 6",,4001,4078,,,Standard,"1, 3, 4, 6",Standard,"1, 3, 4, 6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,Standard,"1,3",,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,,,,,,5,14258,19UDE4G79PA005104,5,5,,,,,5,3065,"FRONTAL AIRBAG,KNEE AIR BAG",231.16000,19.75200,1276.61000,2553.46000,0.27,847.85400,85.42700,328.25900,14.26700,1178.14000,474.15500,0.27,671.62000,322.96700,14261,19UDE4G71PA004819,5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",144.97500,23.87700,1007.45000,1336.93000,239.34500,2363.04000,14260,19UDE4G74PA005267,5,,,"URTAIN AIR BAG,TORSO/PELVIS AIR BAG",235.98900,2871.97000,0.095,1.48,No Tip,,,5,,
ACURA,INTEGRA TYPE-S,2026,5 HB,PC,FWD,1,,,5,"1,3,4,6",,3957,3957,,,Standard,"1, 3, 4, 6",Standard,"1, 3, 4, 6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,Standard,"1,3",,"1,3,4,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Test Pending,Standard,Standard,Test Pending,,,,,,,0,,,,,,,,,2871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095,1.48,No Tip,,,5,,
ACURA,MDX,2026,SUV,MPV,AWD,1,,,7,"1, 3, 4, 5, 6, 7, 9",,5600,5820,,,Standard,"1, 3, 4, 6",Standard,"1, 3, 4, 6",,,,"4,5,6",Standard,Head Protection,"1,3,4,6,7,9",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3",,Standard,"1,3",,"1,3,4,5,6,7,9",,,Standard,,,,,,,Standard,,,Standard,Standard & Optional,Only Standard Meets Performance Criteria,Standard,Standard & Optional,Meets Performance Criteria,Standard,Standard & Optional,Only Standard Meets Performance Criteria,Standard,Standard & Optional,Only Standard Meets Performance Criteria,,,,,,,11663,5J8YE1H30NL001570,4,4,,,,,4,4488,"FRONTAL AIR BAG,KNEE AIR BAG",243.75200,23.92100,2061.15700,2317.65200,0.29,1354.18300,261.06200,288.27000,17.19600,1744.40200,2037.54800,0.30,544.15900,333.11000,11661,5J8YD9H33NL006246,5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",106.59700,14.83100,466.76800,1005.99300,142.44800,746.63500,11662,5J8YD9H39NL006252,5,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",549.43000,1886.68900,0.151,,No Tip,,,,,
ACURA,MDX,2026,SUV,MPV,FWD,1,,,7,"1, 3, 4, 5, 6, 7, 9",,5600,5820,,,Standard,"1, 3, 4, 6",Standard,"1, 3, 4, 6",,,,"4,5,6",Standard,Head Protection,"1,3,4,6,7,9",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3",,Standard,"1,3",,"1,3,4,5,6,7,9",,,Standard,,,,,,,Standard,,,Standard,Standard & Optional,Only Standard Meets Performance Criteria,Standard,Standard & Optional,Meets Performance Criteria,Standard,Standard & Optional,Only Standard Meets Performance Criteria,Standard,Standard & Optional,Only Standard Meets Performance Criteria,,,,,,5,11663,5J8YE1H30NL001570,4,4,,,,,4,4488,"FRONTAL AIR BAG,KNEE AIR BAG",243.75200,23.92100,2061.15700,2317.65200,0.29,1354.18300,261.06200,288.27000,17.19600,1744.40200,2037.54800,0.30,544.15900,333.11000,11661,5J8YD9H33NL006246,5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",106.59700,14.83100,466.76800,1005.99300,142.44800,746.63500,11662,5J8YD9H39NL006252,5,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",549.43000,1886.68900,0.151,1.27,No Tip,,,4,,
ACURA,RDX,2026,SUV,MPV,AWD,1,,,5,"1, 3, 4, 5, 6",,4784,5027,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,TBT,,Standard,Torso and/or Pelvis Protection,"1,3",,Standard,"1,3",,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,,,,,,5,10556,5J8TC2H31KL012420,4,4,,,,,4,3989,"FRONTAL AIR BAG,KNEE AIR BAG",300.20100,27.32100,1457.93000,2063.17400,0.26,1165.62000,100.63500,352.62800,15.30000,1611.77100,1961.71400,0.30,438.54400,372.26000,10364,5J8TC1H3XKL001670,5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",62.71000,15.51400,577.10300,964.57600,123.63900,2055.45600,10365,5J8TC1H36KL001665,5,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",485.97300,3130.95200,0.15,1.2719,No Tip,,,4,,
ACURA,RDX,2026,SUV,MPV,FWD,1,,,5,"1, 3, 4, 5, 6",,4784,5027,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,TBT,,Standard,Torso and/or Pelvis Protection,"1,3",,Standard,"1,3",,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,,,,,,5,10556,5J8TC2H31KL012420,4,4,,,,,4,3989,"FRONTAL AIR BAG,KNEE AIR BAG",300.20100,27.32100,1457.93000,2063.17400,0.26,1165.62000,100.63500,352.62800,15.30000,1611.77100,1961.71400,0.30,438.54400,372.26000,10364,5J8TC1H3XKL001670,5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",62.71000,15.51400,577.10300,964.57600,123.63900,2055.45600,10365,5J8TC1H36KL001665,5,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",485.97300,3130.95200,0.165,1.2372,No Tip,,,4,,
ALFA,GIULIA,2026,4 DR,PC,AWD,1,,,5,"1,3,4,5,6",,4612,4723,,,Standard,"1,3",Standard,"1,3",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3",,,"1,3",,"1,3,4,5,6",N/A,,Standard,,,,,,,Standard,,,Standard,Standard,Test Pending,Standard,Standard,Test Pending,Standard,Standard,Test Pending,Standard,Standard,Test Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
ALFA,GIULIA,2026,4 DR,PC,RWD,1,,,5,"1,3,4,5,6",,4612,4723,,,Standard,"1,3",Standard,"1,3",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3",,,"1,3",,"1,3,4,5,6",N/A,,Standard,,,,,,,Standard,,,Standard,Standard,Test Pending,Standard,Standard,Test Pending,Standard,Standard,Test Pending,Standard,Standard,Test Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
